contragent~doc~ДатаДокумента~ДатаПроводки~ПодразделениеОрганизации~dog~nomen~Количество~ЕдиницаИзмерения~СтавкаНДС~СуммаНДС~СчетГлавнойКнигиДт~СчетДтНаименование~sum_dt_0~sum_dt_1~score~name~sum_kt_0~sum_kt_1~sum_ob_dt~sum_ob_kt~saldo~~~
Днепропресс ТД~~~~~~~~~~~~~~~~~~~~~-51 632,67~~~
Днепропресс ТД~Платежное поручение входящее 00000004592 от 05.05.2020 16:02:43~05.05.2020 00:00:00~~~010000229 розподіл~Розподіл електричної енергії 2 клас ~88,5~МВт·год~20%~10 227,06~311~Текущие счета в национальной валюте~~~361~Расчеты с отечественными покупателями~83 031,25~144 393,61~~61 362,36~~~~
Днепропресс ТД~Платежное поручение входящее 00000005132 от 15.05.2020 15:13:22~15.05.2020 00:00:00~~Дніпропетровські РЕМ~010000229 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~4 109,68~311~Текущие счета в национальной валюте~24658,07~~361~Расчеты с отечественными покупателями~~~~24658,07~~~~
Днепропресс ТД~Платежное поручение входящее 00000005135 от 15.05.2020 15:13:25~15.05.2020 00:00:00~~~010000229 розподіл~Розподіл електричної енергії 2 клас ~43~МВт·год~20%~4 969,08~311~Текущие счета в национальной валюте~~~361~Расчеты с отечественными покупателями~144 393,61~152 539,2~~8145,59~~~~
Днепропресс ТД~Платежное поручение входящее 00000005419 от 25.05.2020 10:15:07~25.05.2020 00:00:00~~~010000229 розподіл~Розподіл електричної енергії 2 клас ~78~МВт·год~20%~9 013,68~311~Текущие счета в национальной валюте~~~361~Расчеты с отечественными покупателями~152 539,2~206 621,28~~54082,08~~~~
Днепропресс ТД~Акт об оказании производственных услуг 00000004823 от 31.05.2020 12:08:05~31.05.2020 12:08:05~~Дніпропетровські РЕМ~010000229 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~4 318,09~361~Расчеты с отечественными покупателями~~25908,55~703~Доход от реализации работ и услуг~~~25908,55~~25908,55~~~
Днепропресс ТД~Акт об оказании производственных услуг 00000005120 от 31.05.2020 12:16:27~31.05.2020 12:16:27~~ЦЕК~010000229 розподіл~Розподіл електричної енергії 2 клас ~186,166~МВт·год~20%~21 513,343~361~Расчеты с отечественными покупателями~~~703~Доход от реализации работ и услуг~206 621,28~77 541,22~129 080,06~~-77 541,22~~~
Водоканал Мелитополь~~~~~~~~~~~~~~~~~~~~~~~~
Водоканал Мелитополь~Платежное поручение входящее 00000005275 от 20.05.2020 16:33:57~20.05.2020 00:00:00~~Дніпропетровські РЕМ~перетоки 08-Зп от 25,01,2019~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~110,48~311~Текущие счета в национальной валюте~662,87~~361~Расчеты с отечественными покупателями~~~~662,87~~~~
Шепелев И.В.~~~~~~~~~~~~~~~~~~~~~992,98~~~
Шепелев И.В.~Платежное поручение входящее 00000004760 от 08.05.2020 21:21:23~08.05.2020 00:00:00~~Дніпропетровські РЕМ~010000768 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~235,82~311~Текущие счета в национальной валюте~1 060,29~~361~Расчеты с отечественными покупателями~~354,64~~1 414,93~~~~
Шепелев И.В.~Акт об оказании производственных услуг 00000005071 от 31.05.2020 12:15:28~31.05.2020 12:15:28~~Дніпропетровські РЕМ~010000768 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~224,6~361~Расчеты с отечественными покупателями~~992,98~703~Доход от реализации работ и услуг~354,64~~1 347,62~~992,98~~~
ГЛУСКО РІТЕЙЛ ООО~~~~~~~~~~~~~~~~~~~~~108,79~~~
ГЛУСКО РІТЕЙЛ ООО~Платежное поручение входящее 00000004726 от 08.05.2020 21:20:50~08.05.2020 00:00:00~~Дніпропетровські РЕМ~010000054 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~18,07~311~Текущие счета в национальной валюте~108,42~~361~Расчеты с отечественными покупателями~~~~108,42~~~~
ГЛУСКО РІТЕЙЛ ООО~Акт об оказании производственных услуг 00000005074 от 31.05.2020 12:15:34~31.05.2020 12:15:34~~Дніпропетровські РЕМ~010000054 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~18,13~361~Расчеты с отечественными покупателями~~108,79~703~Доход от реализации работ и услуг~~~108,79~~108,79~~~
Украинский завод сверхкрупногабаритных шин ОАО~~~~~~~~~~~~~~~~~~~~~-12,42~~~
Украинский завод сверхкрупногабаритных шин ОАО~Платежное поручение входящее 00000004638 от 06.05.2020 15:58:14~06.05.2020 00:00:00~~Дніпропетровські РЕМ~010009121 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~82~311~Текущие счета в национальной валюте~492~~361~Расчеты с отечественными покупателями~~308~~800~~~~
