;;;;;;
Вартість 1 машино-години використання машин (механізмів) в роботах за іншими, крім ліцензованого, видів діяльності на 2018 рік;;;;;;
;;;;;; грн 
№;Найменування транспорту;Державний номер;Місце розташування;Вартість 1 машино-години (простой);Вартість 1 машино-години (проїзд); Вартість 1 машино-години (на роботу спецмеханізімів) 
;;;;;;
;;;;;;
 1    ; 2    ; 3    ; 4    ;;;
51;ГАЗ 5312 автогідропідіймач АП-17А;АЕ 78-08 АК;АпРЕМ; 101,17 ; 469,30    ; 230,08 
52;ГАЗ 5312 АГП-12;АЕ 62-87АI;АпРЕМ; 97,43 ; 443,25    ; 184,20 
53;ГАЗ 66 ЭТЛ;АЕ 73-22АЕ;ПвРЕМ; 89,96 ; 458,09    ;
54;ГАЗ 6611 МРСБ;АЕ 26-47АВ;КрРЕМ; 89,16 ; 446,14    ; 188,32 
55;ГАЗ 6611 специальный (будка);005-56АВ;Кротова, 44; 89,19 ; 490,79    ; 213,14 
56;ГАЗ 6611 фургон ЭТЛ;484-77АА;Кротова, 44; 89,17 ; 513,08    ;
57;ГАЗ САЗ-3507;АЕ 26-51АВ;ПвРЕМ; 89,61 ; 457,74    ;
58;ЗАЗ Lanos;АЕ 42-79 ЕО;Кедріна, 28; 94,20 ; 219,09    ;
59;ЗАЗ TF 69 YO;АЕ 42-73 ЕХ;Кедріна, 28; 102,90 ; 227,79    ;
60;ЗАЗ TF 69 YO;АЕ 42-75 ЕХ;ІнРЕМ; 105,11 ; 216,67    ;
61;ЗИЛ 130 автогідропідіймач АГП-22;438-01АА;Кротова, 44; 98,84 ; 634,30    ; 302,12 
62;ЗИЛ 130 МШТС-4М (вишка);АЕ 73-19АЕ;Кротова, 44; 97,61 ; 566,14    ; 196,77 
63;ЗИЛ 130 МШТС-3С;АЕ 73-21АЕ;ЖвРЕМ; 97,77 ; 566,30    ; 196,93 
64;М-21412;114-16АЕ;КрРЕМ; 89,41 ; 200,97    ;
65;М-412Д;АЕ 26-53АВ;ІнРЕМ; 89,14 ; 200,70    ;
66;МАЗ 533702 автокран КС-45729;АЕ 04-17 АХ;Кротова, 44; 124,30 ; 536,02    ; 265,06 
67;МАЗ 543205 сидельний тягач с полуприцепом (МАЗ-938662-015 АЕ53-98ХТ);АЕ 10-64ВН;Кротова, 44; 100,30 ; 490,91    ;
68;МАЗ 555102-223 самосвал;АЕ 06-25СК;Кротова, 44; 95,00 ; 443,38    ;
69;МАЗ СМК-101 автокран;АЕ 73-18АЕ;ЖвРЕМ; 112,16 ; 481,66    ; 217,73 
70;САЗ 3507 ТВГ-15 спец. автовишка;453-49АА;КрРЕМ; 97,45 ; 432,12    ; 218,92 
71;Трактор МТЗ-80 БМ-205;т 059-63АЕ;ЖвРЕМ; 98,48 ; 304,93    ; 304,93 
