109032;62Z9718863299777
109029;62Z2221199638934
107646;62Z1672275864746
106055;62Z6369455532621
106975;62Z5630090907337
106979;62Z8945790590233
106007;62Z0725621437300
106096;62Z7486593488968
106100;62Z6832553452636
106086;62Z7902129046573
106091;62Z6084014345033
106365;62Z1760575147199
106902;62Z2827366683757
106234;62Z6004480275363
106147;62Z2502556156506
106200;62Z9020372325097
106206;62Z5081913405562
106211;62Z4814370727425
106469;62Z5578210891217
107567;62Z3513204330420
107571;62Z4244327563094
106445;62Z4824156669510
105993;62Z5193122647170
106258;62Z3809751360780
106263;62Z0070827066695
106222;62Z9327975265160
106293;62Z6763370657641
106298;62Z9444219849128
106304;62Z3038940696898
106311;62Z1273772441409
106319;62Z9751131369733
106326;62Z4664857433152
106332;62Z2725031248719
106338;62Z9185383673379
106080;62Z5523221593101
106228;62Z9006344806220
106022;62Z2042775613400
106872;62Z3256330425632
106002;62Z8130570806533
106050;62Z0906799855932
106108;62Z2682453090835
106115;62Z6456530053690
106122;62Z2031446741609
106127;62Z2629631110003
106134;62Z5149052072587
106142;62Z4009592764620
106178;62Z8476634135182
106184;62Z4537129883243
106435;62Z7783611848808
106011;62Z5581441032356
106016;62Z3065361164254
107776;62Z9406353454688
107781;62Z4429887405307
107792;62Z8930891635439
107808;62Z7339559533936
107826;62Z8247390495900
107841;62Z2063311245083
107848;62Z9425919126464
106025;62Z6269805763982
106030;62Z8972896867679
107127;62Z7206871669958
107131;62Z0838018110453
107136;62Z2363022265183
107141;62Z8346521613333
107145;62Z1802237878108
106921;62Z9311071838143
106926;62Z7422285178889
106931;62Z4659441483594
107122;62Z6524984052410
107118;62Z2277662887634
105967;62Z6642966194955
106343;62Z0115700364568
106035;62Z1038495506087
107102;62Z7014570607677
106916;62Z5726424135580
105989;62Z8510147729369
106153;62Z3008007269373
107150;62Z4935027328233
107698;62Z1259111207810
107704;62Z0757550015269
107711;62Z5346257849873
107717;62Z5960847516980
107723;62Z4243605403850
107729;62Z2435911468201
107738;62Z1326935811139
107748;62Z4179212454042
107761;62Z9944449301379
107771;62Z0344610484050
105979;62Z5197542014380
105974;62Z8565279907565
107641;62Z5770010530393
107657;62Z4595033999412
