Назва підприємства~№ лічильника~ЕЕРП
Орган місцевого самоврядування Відділ освіти Виконавчого комітету Славгородської  селищної ради~ 0046673~0,0308
Орган місцевого самоврядування Відділ освіти Виконавчого комітету Славгородської  селищної ради~ 0038348~0,0308
Орган місцевого самоврядування Відділ освіти Виконавчого комітету Славгородської  селищної ради~0557273~0,0311
Орган місцевого самоврядування Відділ освіти Виконавчого комітету Славгородської  селищної ради~ 0557268~0,0311
Фізична особа підприємець Бондаревський Владислав Миколайович~ 04854~0,0208
Фізична особа Зюбровська Ольга Василівна~10355959~0,0222
"Товариство з обмеженою відповідальністю ""Атлант-КС"""~ 10646527 ~0,0341
"Товариство з обмеженою відповідальністю ""Траксервіс"""~ 0085053~0,0212
"Товариство з обмеженою відповідальністю ""ІНПО-ТРЕЙД"""~ 0085388~0,0255
"Товариство з обмеженою відповідальністю ""ІНПО-ТРЕЙД"""~ 8048635~0,0253
"Товариство з обмеженою відповідальністю ""ІНПО-ТРЕЙД"""~ 01769518~0,0275
"Товариство з обмеженою відповідальністю ""ІНПО-ТРЕЙД"""~ 0711559~0,0255
"Комунальний заклад вищої освіти ""Павлоградський медичний коледж""Дніпропетровської обласної Ради"""""~ 2Д25367~0,0209
"Комунальний заклад вищої освіти ""Павлоградський медичний коледж""Дніпропетровської обласної Ради"""""~2N54449~0,0222
"Комунальний заклад вищої освіти ""Павлоградський медичний коледж""Дніпропетровської обласної Ради"""""~ 0781503~0,0274
"Товариство з обмеженою відповідальністю ""МАЙНО-ІНВЕСТ"""~ 0053704~0,0346
"Комунальний заклад ""Початковий спеціалізований мистецький НЗ ""Мистецька школа №2""ПМР"~ 169321~0,0229
Фізична особа-підприємець Шанько Ігор Георгійович~0202594~0,0298
"Комунальне підприємство""Павлоградське виробниче управління водопровідно-каналізаційного господарства""ПМР"~007302~0,0339
"Комунальне підприємство""Павлоградське виробниче управління водопровідно-каналізаційного господарства""ПМР"~0781562~0,0288
"Комунальне підприємство""Павлоградське виробниче управління водопровідно-каналізаційного господарства""ПМР"~007846~0,0273
"Комунальне підприємство""Павлоградське виробниче управління водопровідно-каналізаційного господарства""ПМР"~ 012137~0,0187
"Комунальне підприємство""Павлоградське виробниче управління водопровідно-каналізаційного господарства""ПМР"~10461369~0,0281
"Комунальне підприємство""Павлоградське виробниче управління водопровідно-каналізаційного господарства""ПМР"~ 015531~0,0327
"Комунальне підприємство""Павлоградське виробниче управління водопровідно-каналізаційного господарства""ПМР"~ 0289998~0,0274
"Комунальне підприємство""Павлоградське виробниче управління водопровідно-каналізаційного господарства""ПМР"~ 014254~0,0274
Фізична особа-підприємець Сенюра Юрій Михайлович~0156789~0,0327
Фізична особа підприємець Приходько Дмитро Володимирович~0724183~0,0345
Фізична особа підприємець Приходько Дмитро Володимирович~ 0256833~0,0313
"Товариство з обмеженою відповідальністю ""Металургійні технологічні системи"""~ 11619~0,0182
"Товариство з обмеженою відповідальністю ""Металургійні технологічні системи"""~ 342385~0,0326
"Товариство з обмеженою відповідальністю ""Металургійні технологічні системи"""~ 18193~0,0326
"Товариство з обмеженою відповідальністю ""Металургійні технологічні системи"""~ 18199~0,0326
"Товариство з обмеженою відповідальністю ""Металургійні технологічні системи"""~11660~0,0326
"Публічне акціонерне товариство ""Акціонерний Комерційний Промислово-Інвестиційний Банк"""~0135298~0,0348
Фізична особа-підприємець Мітленко Микола Олексійович~ 0301553~0,0198
"Державна Установа ""Дніпропетровський обласний лабораторний центр Міністерства охорони здоров`я України"""~ 27187~0,0208
"Товариство з обмеженою відповідальністю м`ясокомбінат ""Ювілейний"""~1200881~0,0289
Фізична особа-підприємець Савков Юрій Вікторович~10687~0,0339
Західно-Донбаський професійний ліцей~27723~0,0214
Західно-Донбаський професійний ліцей~29008553~0,023
Західно-Донбаський професійний ліцей~37330~0,026
Західно-Донбаський професійний ліцей~7884350~0,0235
"Комунальне підприємство ""Павлоградтеплоенерго"""~8359430~0,0393
"Комунальне підприємство ""Павлоградтеплоенерго"""~27188~0,0489
"Комунальне підприємство ""Павлоградтеплоенерго"""~7670720~0,0222
"Комунальне підприємство ""Павлоградтеплоенерго"""~15160~0,0238
"Комунальне підприємство ""Павлоградтеплоенерго"""~12948~0,0412
"Комунальне підприємство ""Павлоградтеплоенерго"""~104545~0,0191
"Комунальне підприємство ""Павлоградтеплоенерго"""~104582~0,0447
