code;name;citycode;streettypecode;thedistrictcode;modify_time;citykoid;resid;xstreetcode
INTEGER;VARCHAR(50);INTEGER;INTEGER;INTEGER;DECIMAL(16.0);VARCHAR(10);VARCHAR(10);VARCHAR(50)
773;Руденко;3917;3;;;1221882401;;
774;Рудна;3636;3;;;1210700000;;
775;Рудна;3638;3;;;1211000000;;
776;Рудничний;3636;6;;;1210700000;;
777;Рудішина;3893;3;;;1221880501;;
778;Різдвяний;3636;6;;;1210700000;;
779;Річковий;3636;6;;;1210700000;;
780;Річна;3638;3;;;1211000000;;
781;С. Федорченка;3636;3;;;1210700000;;
782;С. Шилова;3636;3;;;1210700000;;
783;С.Ковалевської;3630;3;;;1210100000;;
784;Савицького;3638;3;;;1211000000;;
785;Савкіна;3630;3;;;1210100000;;
786;Сагайдачна;3648;3;;;1211900000;;
787;Садова;3941;3;;;1221884301;;
