code;name;citycode;streettypecode;thedistrictcode;modify_time;citykoid;resid;xstreetcode
INTEGER;VARCHAR(50);INTEGER;INTEGER;INTEGER;DECIMAL(16.0);VARCHAR(10);VARCHAR(10);VARCHAR(50)
304;Закарпатська;3638;3;;;1211000000;;
305;Залізнична;3636;3;;;1210700000;;
306;Запорізський;3636;6;;;1210700000;;
307;Запорізьке шосе;3630;3;;;1210100000;;
308;Запорізький;3636;6;;;1210700000;;
309;Зарічна;3636;3;;;1210700000;;
310;Зарічна;3951;3;;;1221884707;;
311;Зарічна;3974;3;;;1221888201;;
312;Зарічна;3652;3;;;1212400000;;
313;Зарічний;3652;6;;;1212400000;;
314;Затишний;3636;6;;;1210700000;;
315;Західний;3636;6;;;1210700000;;
316;Звенигородська;3630;3;;;1210100000;;
317;Зелена;3891;3;;;1221855500;;
318;Зелена;4840;3;;;1225283304;;
319;Зелена;3636;3;;;1210700000;;
320;Зелена;3902;3;;;1221881303;;
321;Зелена;3632;3;;;1210200000;;
322;Зеленівська;3638;3;;;1211000000;;
323;Землячки;3638;3;;;1211000000;;
324;Зенітна;4276;3;;;1223255300;;
325;Зимова;3630;3;;;1210100000;;
326;Зимовий;3630;6;;;1210100000;;
327;Зоологічна;3630;3;;;1210100000;;
328;Зоряний;3630;2;;;1210100000;;
329;Зої Космодем'янської;3636;6;;;1210700000;;
330;Зустрічна;3630;3;;;1210100000;;
331;К. Маркса;3638;9;;;1211000000;;
332;Кабака;3652;3;;;1212400000;;
333;Кавалерійська;3630;3;;;1210100000;;
334;Каверіна;3630;3;;;1210100000;;
335;Казакевича;3630;3;;;1210100000;;
336;Казакова;3630;3;;;1210100000;;
337;Калинова;3636;3;;;1210700000;;
338;Калинова;3630;3;;;1210100000;;
339;Калузька;3630;3;;;1210100000;;
340;Калініна;3901;3;;;1221881301;;
341;Калініна;3630;9;;;1210100000;;
342;Каманіна;3657;3;;;1220310100;;
343;Капітальний;3636;6;;;1210700000;;
344;Кар'єрний;3636;6;;;1210700000;;
345;Караваєва;3630;3;;;1210100000;;
346;Карбишева;3652;3;;;1212400000;;
347;Карла Лібкнехта;3630;3;;;1210100000;;
348;Карла Маркса;3630;9;;;1210100000;;
349;Карла Маркса;3657;3;;;1220310100;;
350;Карла Маркса;3676;3;;;1220384401;;
351;Каткова;3638;3;;;1211000000;;
352;Каховська;3630;3;;;1210100000;;
353;Каховська;3638;3;;;1211000000;;
354;Качалова;3638;3;;;1211000000;;
355;Квартальний;3636;6;;;1210700000;;
356;Квіткова;3928;3;;;1221883501;;
357;Квіткова;3974;3;;;1221888201;;
358;Квітковий;3630;6;;;1210100000;;
359;Квітнева;3630;3;;;1210100000;;
360;Кедрово;3630;3;;;1210100000;;
361;Киргизька;3630;3;;;1210100000;;
362;Кисловодська;3630;3;;;1210100000;;
363;Кияшко;8709;3;;;2310100000;;
364;Київська;3783;3;;;1221055400;;
365;Кленова;3630;3;;;1210100000;;
366;Клименка;4509;3;;;1224510100;;
367;Кловський узвіз;29758;3;;;8000000000;;
368;Клочківська;23058;3;;;6310100000;;
369;Клубна;3891;3;;;1221855500;;
370;Ключовий;3630;6;;;1210100000;;
371;Княгині Ольги;3630;3;;;1210100000;;
372;Князя Ярослава Мудрого;3630;3;;;1210100000;;
373;Кобилянського;3638;3;;;1211000000;;
374;Кодацька;3636;3;;;1210700000;;
375;Кожем'яки;3630;3;;;1210100000;;
376;Козака Мамая;3630;3;;;1210100000;;
377;Козакова;3636;3;;;1210700000;;
378;Козацька;3941;3;;;1221884301;;
379;Козацький;3636;6;;;1210700000;;
380;Козацької Слави;3636;3;;;1210700000;;
381;Колгоспна;3928;3;;;1221883501;;
382;Комарова;3630;3;;;1210100000;;
383;Комсомольська;3948;3;;;1221884701;;
