Перелік калькуляцій вартості виконання додаткових робіт (послуг) на 2018 рік, пов'язаних з ліцензованою діяльністю ;;;;;;;;;;;;;
№ ;Назва роботи;Склад бригади;Погодинна тарифна ставка, грн ;Витрати робочого часу на роботу (всього), нормо-год. ;Витрати робочого часу на виконання роботи, нормо-год.;Час використання транспорту на простой ;Час використання транспорту на роботу ;;;;;;
22;Оформлення дозволу на виконання робіт в охоронній зоні електричних мереж (ТП від 250 кВА до 1000 кВА);Електромонтер 5 р.;33,10;0,42;0,210;0,210;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
23;Підключення трифазного електролічильника за нарядом (одно-, двоквартирні будинки, промисловість, комун.споживачі в центрі міста, при обслуговуванні яких не обов'язкове застосування автотранспорта);Електромонтер 3 р.;25,59;0,54;0,54;0,54;;;;;;;
24;Відключення трифазного електролічильника за нарядом (одно-, двоквартирні будинки, промисловість, комун.споживачі в центрі міста, при обслуговуванні яких не обов'язкове застосування автотранспорта);Електромонтер 3 р.;25,59;0,54;0,54;0,54;;;;;;;
25;Підключення електроустановки споживача до електричної мережі за допомогою комутаційної апаратури ;Електромонтер 4 р.;28,83;0,33;0,165;0,165;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
26;Відключення електроустановки споживача до електричної мережі за допомогою комутаційної апаратури ;Електромонтер 4 р.;28,83;0,33;0,165;0,165;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
27;Відключення (в тому числі повторне) електроустановки споживача з 1-фазним лічильником від ізольованої електромережі на опорі ПЛ 0,4 кВ із зняттям проколюючих зажимів із застосуванням автовишки;Електромонтер 5 р.;33,10;0,89;0,445;0,110;0,335;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
28;Повторне підключення після відключення електроустановки споживача з 1-фазним лічильником до електромережі з ізольованими проводами на опорі ПЛ 0,4 кВ проколюючими зажимами із застосуванням автовишки;Електромонтер 5 р.;33,10;0,97;0,485;0,150;0,335;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
29;Відключення (в тому числі повторное) електроустановки споживача з 3-фазним лічильником від ізольованої електромережі на опорі ПЛ 0,4 кВ із зняттям проколюючих зажимів із застосуванням автовишки;Електромонтер 5 р.;33,10;1,22;0,610;0,110;0,5;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
30;Повторное підключення після відключення електроустановки споживача з 3-фазним лічильником до електромережі з ізольованими проводами на опорі ПЛ 0,4 кВ проколюючими зажимами із застосуванням автовишки;Електромонтер 5 р.;33,10;1,3;0,650;0,150;0,5;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
31;Відключення (в тому числі повторное) електроустановки споживача (з 1-фазним чи 3-фазним лічильником) та ізольованим вводом від електромережі у виносній шафі обліку на фасаді будинку ;Електромонтер 3 р.;25,59;0,15;0,075;0,075;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
32;Повторне підключення після відключення електроустановки споживача (з 1-фазним чи 3-фазним лічильником) до електромережі у виносній шафі обліку на фасаді будинку ;Електромонтер 3 р.;25,59;0,16;0,080;0,080;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
33;Відключення (в тому числі повторного) електроустановки споживача (з 1-фазним чи 3-фазним лічильником) від електромережі в центрах живлення (в приміщенні ТП) з застосуванням комутаційної апаратури;Електромонтер 5 р.;33,10;0,15;0,075;0,075;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
34;Повторное підключення після відключення електроустановки споживача (з 1-фазним чи 3-фазним лічильником) до електромережі в центрах живлення (в приміщенні ТП) з застосуванням комутаційної апаратури.;Електромонтер 5 р.;33,10;0,11;0,055;0,055;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
35;Відключення (в тому числі повторне) електроустановки споживача з 1-фазним лічильником від електромережі основного споживача (в поверховому розподільчому щиті);Електромонтер 3 р.;25,59;0,42;0,210;0,210;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
36;Повторне підключення після відключення електроустановки споживача з 1-фазним лічильником  до внутрішньобудинкової електромережі основного споживача (в поверховому розподільчому щиті);Електромонтер 3 р.;25,59;0,5;0,250;0,250;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
37;Відключення (в тому числі повторне) електроустановки споживача з 1-фазним лічильником в точці обліку від внутрішньої електромережі споживача (в будинку або в квартирі);Електромонтер 3 р.;25,59;0,37;0,185;0,185;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
38;Повторне підключення після відключення електроустановки споживача з 1-фазним лічильником в точці обліку до внутрішньобудинкової електромережі споживача (в будинку або в квартирі);Електромонтер 3 р.;25,59;0,53;0,265;0,265;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
21;Сумісний підвіс;Електромонтер 4 р.;24,53;;; 0,22 ;;;;;;;
