~-4~900~Інгулецькі РЕМ~Iншi~с. Карпівка вул. Центральна    233~КТП-864~Офіс~~0~0~0~0077869~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~115610~48~Абонент~0,4~~~~~~86,64~~~~~~~~01.01.2017~~16~~0~~~~~~~~~Жирій О.В., ~31~PC010431
~-3~80000001~Церква Святого Миколая Угодника~Iншi~м. Кривий Ріг вул. Гірників     46~ТП-858~Церква Святого  Миколая Угодника~~0~0~0~04845~Дельта 8010-08~6320~электронный~Трехфазный~6~10~1,0~1~114753~63~Абонент~0,4~~~~~~113,72~~~~~~~~01.10.2015~01.12.2005~16~01.12.2021~0~~~~~~~~~Жирій О.В., ~31~PC010431
~-2~80000002~ФО Калюжна М.О.~Iншi~м. Кривий Ріг вул. Олександра Станкова      9-б~РП-28~ФОП Калюжна М.О.~~0~0~0~0014723~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~114770~60~Абонент~0,4~~~~~~108,30~~~~~~~~01.10.2015~01.03.2009~16~01.03.2025~0~~~~~~~~~Жирій О.В., ~31~PC010431
~-1~80000003~СТ Забудівник~Iншi~~КТП-862~СТ Забудівник~~0~0~0~0524068~НІК 2301АП2~6371~электронный~Трехфазный~6~5~1,0~1~114776~16~Абонент~0,4~~~~~~28,88~~~~~~~Установлен~01.10.2015~01.06.2011~16~01.06.2027~0~~~~~~~~~Жирій О.В., ~31~PC010431
~0~80000004~ФОП Гробовий  В.Г.~Iншi~м. Кривий Ріг вул. Жовтонога     51-А~КТП-81~Склад~~0~0~0~8422204~НІК2303L АП3 1000МСЕ~6456~электронный~Трехфазный~6~5~1~1~106050~8~Абонент~0,4~~~~~~14,44~~~~~~~~25.06.2017~01.10.2016~16~01.10.2032~0~~~~~~~~~Жирій О.В., ~31~PC010431
~1~80000005~ФОП Спіріч С.В.~Iншi~м. Кривий Ріг вул. Недєліна     49-А~ТП-852~Майстерня~~0~0~0~126727~ЛЕ 1101~7093~электронный~Однофазный~6~10~1~1~116345~2~Абонент~0,4~~~~~~3,61~~~~~~~~01.10.2015~01.01.2015~6~01.01.2021~0~~~~~~~~~Жирій О.В., ~31~PC010431
~2~80000006~ФОП Кривенко А.В.~Iншi~м. Кривий Ріг пр-т Перемоги     47-а~ТП-859~автостоянка~~0~0~0~6141823~ЛТЕ-1.03~7111~электронный~Трехфазный~6~10~1~1~105971~10~Абонент~0,4~~~~~~18,05~~~~~~~Установлен~17.05.2018~01.11.2006~16~01.11.2022~0~~~~~~~~~Жирій О.В., ~31~PC010431
~3~80000007~ФОП Басов І.А.~Iншi~м. Кривий Ріг вул. Недєліна     49-А~ТП-852~ФОП Басов І.А.~~0~0~0~7407886~ЛТЕ-1.03~7111~электронный~Трехфазный~6~10~1~1~114715~9~Абонент~0,4~~~~~~16,25~~~~~~~~25.11.2015~01.03.2008~16~01.03.2024~0~~~~~~~~~Жирій О.В., ~31~PC010431
~4~80000008~ТОВ "НВП "Геоаспект""~Iншi~м. Кривий Ріг вул. Олександра Станкова     14-А~КТП-потр. (Геоаспект)~ТОВ "НВП "Геоаспект"~Отключен~1~0~1~0027852~НІК 2303АРП1~6378~электронный~Трехфазный~6~5~1,0~1~115627~92~Абонент~0,4~Т-0,66 150/5~30~~11805,11172,11673~Абонент~166,06~~~~~~~~01.01.2017~~16~~0~~~~~~~~~Жирій О.В., ~31~PC010431
~5~80000009~ФОП Дем`яненко З.А.~Iншi~м. Кривий Ріг вул. Недєліна     27~ТП-852~ФОП Дем`яненко З.А.~~0~0~0~6297409~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~106054~5~Абонент~0,4~~~~~~9,03~~~~~~~~01.10.2015~01.09.2013~16~01.09.2029~0~~~~~~~~~Жирій О.В., ~31~PC010431
~6~80000010~ФОП Бражнік С.Г.~Iншi~м. Кривий Ріг пр-т Перемоги     41-А~ТП-855~ФОП Бражнік С.Г.~~0~0~0~0505577~ЛТЕ-1.03~7111~электронный~Трехфазный~6~10~1~1~106019~25~Абонент~0,4~~~~~~45,13~~~~~~~~01.10.2015~01.03.2005~16~01.03.2021~0~~~~~~~~~Жирій О.В., ~31~PC010431
