~-4~900~Господарські потреби РЕМ~Iншi~смт Гвардійське вул. Сітьова     10~ЗТП-187~госп. потреби~Проверен~0~0~0~0072710~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~108066~15~Абонент~0,4~~~~~~27,08~~~~~~~~01.04.2016~01.12.2010~16~01.12.2026~0~~~~~~~~~Старостенко Є.І~31~PC011131
~-3~7882~т.о.   ТОВ "ІН ФУД"~Промисловiсть~м. Новомосковськ   Північна      4~ПС НМФ 35/10 кВ~тов "ІН ФУД" яч.10~Системн~0~0~0~1769425~EPQS 122.23.17 LL~6285~электронный~Трехфазный~6~5~0,5S~1~109029~750~Абонент~10,0~200/5~40~~~Абонент~54,19~3,69~НТМИ-10-66 10000/100~100~~~Абонент~~01.10.2017~~6~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~-2~7882~т.о.   ТОВ "ІН ФУД"~Промисловiсть~м. Новомосковськ   Північна      4~ПС НМФ 35/10 кВ~ТОВ "ІН ФУД" яч.7~Системн~0~0~0~1769483~EPQS 122.23.17 LL~6285~электронный~Трехфазный~6~5~0,5S~1~109032~750~Абонент~10,0~200/5~40~~~Абонент~54,19~3,69~НТМИ-10-66 10000/100~100~~~Абонент~~01.12.2017~~6~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~-1~70000001~ПрАТ "ФАРЛЕП-ІНВЕСТ"~Iншi~смт Черкаське вул. Лісна    101~ЗТП-178~01,01 АТС №56~Проверен~0~0~0~0309563~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107646~3~Абонент~0,4~~~~~~5,42~~~~~~~Установлен~01.04.2016~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~0~70000003~Р РГ ХХЦ "БЛАГА ВІСТЬ" СМТ. ГВАРДІЙСЬКЕ~Iншi~смт Гвардійське вул. Гагаріна    11а~ЗТП-168~03,01 церква~Проверен~0~0~0~2810093~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106055~3~Абонент~0,2~~~~~~0,20~~~~~~~Установлен~22.05.2015~22.05.2015~16~22.05.2031~0~~~~~~~~~Старостенко Є.І~31~PC011131
~1~70000005~Р ФОП Гельмель А.В.~Iншi~смт Гвардійське вул. Гагаріна     15~ЗТП-168~05,01 ком'ютерний клуб~Проверен~0~0~0~0729829~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~106007~10~Абонент~0,4~~~~~~18,05~~~~~~~Установлен~01.10.2015~01.03.2013~16~01.03.2029~0~~~~~~~~~Старостенко Є.І~31~PC011131
~2~70000006~Р КП "Гвардійський ринок"~Iншi~смт Гвардійське вул. Гагаріна     16~ЗТП-167~06,02 свердловина~Проверен~0~0~0~016091~СТ-ЭА05 Д1~6482~электронный~Трехфазный~6~5~1~1~106100~6~Абонент~0,4~~~~~~11,37~~~~~~~Установлен~08.07.2015~~10~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~3~70000006~Р КП "Гвардійський ринок"~Iншi~смт Гвардійське вул. Гагаріна     16~ЗТП-168~06,01 ринок~Проверен~0~0~0~06005~Дельта 8010-08~6320~электронный~Трехфазный~6~10~1,0~1~106096~67~Абонент~0,4~~~~~~121,21~~~~~~~Установлен~08.07.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~4~70000007~Р ФОП Уварова Р.В.~Iншi~смт Черкаське вул. Лісна     2б~ЗТП-173~07,01 магазин~Проверен~0~0~0~2810838~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106086~3~Абонент~0,2~~~~~~0,22~~~~~~~Установлен~22.05.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~5~70000008~Р ФОП  Тихон Н.О.~Iншi~смт Черкаське вул. Лісна     2в~ЗТП-173~08,01 магазин~Проверен~0~0~0~8299786~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~106091~5~Абонент~0,2~~~~~~0,38~~~~~~~~01.04.2017~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~6~70000009~Р ФОП Телешев Л.М.~Iншi~смт Гвардійське вул. Сітьова      4~ЗТП-180~09,01 гараж~Проверен~0~0~0~0556590~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106365~32~Абонент~0,4~~~~~~58,03~~~~~~~Установлен~17.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~7~70000010~Р ГК "Автомотор"~Iншi~смт Гвардійське вул. Сітьова     10~ЗТП-187~ГК Автомотор~Проверен~0~0~0~10192670~NIK 2301 AP3.0000.0.11~6538~электронный~Трехфазный~6~5~1~1~106902~10~Абонент~0,4~~~~~~18,05~~~~~~~Установлен~24.01.2019~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~8~70000012~Р ФОП Вацлавів Ю.О.~Iншi~смт Гвардійське вул. Сітьова      1~ЗТП-190~12,01 цех~Проверен~0~0~0~0329476~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106234~26~Абонент~0,4~~~~~~47,47~~~~~~~Установлен~22.06.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~9~70000013~Р ФОП Воронін М.О.~Iншi~смт Гвардійське вул. Сітьова     10~ЗТП-187~13,01 СТО~Проверен~0~0~0~1022091~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106147~10~Абонент~0,4~~~~~~18,05~~~~~~~Установлен~01.10.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~10~70000014~Р ФОП Антонян А.Р.~Iншi~смт Черкаське вул. Лісна      5/ 63~ЗТП-178~14,03 магазин "Дубки"~Проверен~0~0~0~0203114~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106211~32~Абонент~0,4~~~~~~57,76~~~~~~~~10.07.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~11~70000014~Р ФОП Антонян А.Р.~Iншi~смт Черкаське вул. Лісна     1а~ЗТП-173~14,02 магазин "Весна"~Проверен~0~0~0~2810581~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106206~7~Абонент~0,2~~~~~~0,51~~~~~~~Установлен~10.07.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~12~70000014~Р ФОП Антонян А.Р.~Iншi~смт Черкаське вул. Лісна     10~ЗТП-188~14,01 магазин "Рубен"~Проверен~0~0~0~4339971~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~106200~7~Абонент~0,2~~~~~~0,53~~~~~~~Установлен~01.06.2017~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
